,Date,Open,High,Low,Close,Change,Trend,Gap
287,2017-06-27,23636.95,23640.1,23055.75,23216.25,-420.7000000000007,Bearish,U
288,2017-06-28,23209.55,23322.55,23113.65,23235.85,26.299999999999272,Bullish,D
289,2017-06-29,23312.4,23476.0,23124.35,23227.3,-85.10000000000218,Bearish,U
290,2017-06-30,23137.25,23254.1,22996.4,23211.2,73.95000000000073,Bullish,D
291,2017-07-03,23240.35,23330.1,23144.3,23272.8,32.45000000000073,Bullish,U
292,2017-07-04,23325.5,23363.05,23163.7,23214.2,-111.29999999999927,Bearish,U
293,2017-07-05,23241.9,23380.35,23205.55,23352.6,110.69999999999709,Bullish,U
294,2017-07-06,23399.5,23540.15,23369.5,23466.65,67.15000000000146,Bullish,U
295,2017-07-07,23463.75,23492.6,23400.6,23449.15,-14.599999999998545,Bearish,D
296,2017-07-10,23583.25,23964.8,23289.9,23675.05,91.79999999999927,Bullish,U
297,2017-07-11,23744.55,23744.55,23552.6,23584.6,-159.95000000000073,Bearish,U
298,2017-07-12,23623.75,23736.55,23523.65,23695.45,71.70000000000073,Bullish,U
299,2017-07-13,23817.25,23938.0,23811.0,23888.65,71.40000000000146,Bullish,U
300,2017-07-14,23949.5,23963.65,23755.95,23937.7,-11.799999999999272,Bearish,U
301,2017-07-17,24011.4,24066.1,23913.65,24015.05,3.649999999997817,Bullish,U
302,2017-07-18,23958.15,24147.45,23942.1,24022.05,63.89999999999782,Bullish,D
303,2017-07-19,24069.2,24180.75,24053.7,24152.65,83.45000000000073,Bullish,U
304,2017-07-20,24170.65,24299.6,24170.65,24213.35,42.69999999999709,Bullish,U
305,2017-07-21,24231.4,24289.3,24066.9,24257.05,25.649999999997817,Bullish,U
306,2017-07-24,24307.7,24460.55,24234.65,24420.85,113.14999999999782,Bullish,U
307,2017-07-25,24622.9,24624.65,24450.2,24520.7,-102.20000000000073,Bearish,U
308,2017-07-26,24578.15,24720.9,24484.9,24670.7,92.54999999999927,Bullish,U
309,2017-07-27,24857.5,25032.25,24799.4,24922.4,64.90000000000146,Bullish,U
310,2017-07-28,24744.55,24859.75,24651.05,24811.3,66.75,Bullish,D
311,2017-07-31,24880.6,25168.1,24828.5,25103.65,223.0500000000029,Bullish,U
312,2017-08-01,25152.85,25179.5,25000.9,25122.8,-30.049999999999272,Bearish,U
313,2017-08-02,25190.4,25198.8,24926.25,25055.2,-135.20000000000073,Bearish,U
